[277.05102040816325, 496.23469387755097]
[355.41836734693874, 480.7244897959183]
[556.2346938775509, 469.295918367347]
[735.8265306122448, 472.5612244897959]
[813.377551020408, 481.5408163265306]
[865.6224489795918, 493.78571428571433]
[360.3163265306122, 443.98979591836735]
[452.56122448979585, 355.82653061224494]
[507.2551020408162, 327.2551020408164]
[585.6224489795918, 330.5204081632653]
[645.2142857142856, 347.6632653061224]
[712.1530612244896, 390.11224489795916]
[775.0102040816325, 402.3571428571429]
[268.8877551020408, 244.80612244897964]
[434.60204081632645, 306.03061224489795]
[480.3163265306122, 236.64285714285722]
[583.9897959183672, 275.82653061224494]
[646.0306122448978, 290.5204081632653]
[646.0306122448978, 291.3367346938776]
[717.8673469387754, 330.5204081632653]
[778.2755102040815, 368.07142857142856]
[784.8061224489795, 333.78571428571433]
[855.8265306122448, 289.70408163265313]
[921.1326530612243, 514.1938775510204]
[915.4183673469386, 271.74489795918373]
[877.0510204081631, 167.25510204081638]
[806.0306122448978, 239.09183673469386]
[780.7244897959183, 221.94897959183675]
[709.704081632653, 260.3163265306123]
[645.2142857142856, 220.3163265306123]
[536.6428571428571, 178.68367346938783]
[477.0510204081632, 215.4183673469388]
[263.17346938775506, 35.010204081632764]
[642.7653061224489, 162.3571428571429]
[524.3979591836735, 128.07142857142867]
